Längengrad;Breitengrad;ID;company;Adresse;PLZ;Ort;Bezirk;Nutzung der Grundstücksfläche nach dem FNP;Präsenz im Stadtbild ;url;caption
13.4342071685564;52.5366245481794;3.08;GETIR;Bernhard-Lichtenberg-Straße 1;10407;Berlin;Pankow;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-08.jpg;Abb. 144 © Eigene Aufnahme (Fotoaufnahme vom 06.04.2023 - 18:00 Uhr) 
13.4484156655454;52.5516225580932;3.09;GETIR;Charlottenburger Straße 17a;13086;Berlin;Pankow;Wohnbaufläche;Lager in Erdgeschosswohnung, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-09.jpg;Abb. 147 © Eigene Aufnahme (Fotoaufnahme vom 21.04.2023 - 15:50 Uhr) 
13.4075893003866;52.5230299345075;3.10;GETIR;Rochstraße 14B;10178;Berlin;Mitte;Sonderbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-10.jpg;Abb. 149 © Eigene Aufnahme (Fotoaufnahme vom 13.04.2023 - 17:30 Uhr) 
13.46164585;52.5254642;3.11;GETIR;Storkower Straße 175;10369;Berlin;Lichtenberg;Wohnbaufläche;Der Haupteingang des Ladengeschäfts wurde geschlossen. Stattdessen wird der Hintereingang des Gebäudes genutzt.;https://odis-berlin.de/images/standortaufnahmen/ID-3-11.jpg;Abb. 153 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 18:10 Uhr) 
13.4514551468002;52.5109306084662;3.12;GETIR;Warschauer Straße 24;10243;Berlin;Friedrichshain-Kreuzberg;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-12.jpg;Abb. 156 © Eigene Aufnahme (Fotoaufnahme vom 06.04.2023 - 19:00 Uhr) 
13.4423894;52.4634753;3.13;GETIR;Juliushof 4;12051;Berlin;Neukölln;Fläche mit Mischnutzungscharakter;Lagereingang in Einfahrt. Lager als solches nicht zu erkennen.;https://odis-berlin.de/images/standortaufnahmen/ID-3-13.jpg;Abb. 158 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 18:10 Uhr) 
13.3874902735715;52.4987743155068;3.14;GETIR;Hallesches Ufer 26;10963;Berlin;Friedrichshain-Kreuzberg;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft.;https://odis-berlin.de/images/standortaufnahmen/ID-3-14.jpg;Abb. 161 © Eigene Aufnahme (Fotoaufnahme vom 13.04.2023 - 18:40 Uhr)
13.3845466989325;52.4506957137332;3.15;GETIR;Mariendorfer Damm 26;12109;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-15.jpg;Abb. 165 © Eigene Aufnahme (Fotoaufnahme vom 15.04.2023 - 12:10 Uhr)  
13.3373782;52.4884119;3.16;GETIR;Grunewaldstraße 50;10825;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-16.jpg;Abb. 168 © Eigene Aufnahme (Fotoaufnahme vom 30.05.2023 - 15:10 Uhr) 
13.334369438844;52.4710207346819;3.17;GETIR;Rheinstraße 4;12159;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-3-17.jpg;Abb. 172 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 14:30 Uhr) 
